,名称,图画信息,图画标签,图片信息
547,轩辕问道图卷,创作者： 石芮 所属时期： 明代 题材： 风景画 尺寸： 32 X152cm 收藏地点： 台北故宫博物院,风景画作 船 树 江湖,
548,花卉图8,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 24.6×27cm",中国花鸟画 花草 桃花,
549,花卉图9,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 24.6×27cm",中国花鸟画 花草 湖石,
550,花卉图7,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 24.6×27cm",中国花鸟画 桃花 花枝,
551,花卉图3,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 24.6×27cm",中国花鸟画 湖石 花草,
552,花卉图6,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 24.6×27cm",中国花鸟画 花草 湖石 兰草,
553,花卉图12,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 24.6×27cm",中国书法 草书,
554,花卉图5,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 24.6×27cm",中国花鸟画 牵牛花 野草,
555,花卉图4,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 24.6×27cm",中国花鸟画 花草,
556,花卉图10,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 24.6×27cm",中国花鸟画 花草,
557,花卉图1,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 24.6×27cm",中国花鸟画 湖石 花草,
558,花卉图13,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 24.6×27cm",中国书法 草书,
559,花卉图2,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 24.6×27cm",中国花鸟画 绣球花,
560,花卉图11,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 24.6×27cm",中国花鸟画 雏菊 花草,
561,山水图卷,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 32.7×750.6cm 收藏地点： 大都会艺术博物馆",中国山水画 山水 房屋 树木 船 桥,整幅图卷描绘出山水相连，几叶扁舟顺风而下，房子、小亭依山而建，好一派清静优雅的景像！
562,书扇页,"创作者： 陈淳 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 38x53cm",中国扇面书法 草书,
563,梅花扇面,创作者： 项圣谟 所属时期： 明代 材质： 水墨 尺寸： 16.5×50.8cm 收藏地点： 大都会艺术博物馆,梅花 树枝 扇面,水墨梅花扇面，梅花或吐露芬芳，或含苞待放，枝干遒劲有力，虽是寒冬，却仍旧不惧严寒。项圣谟，明末清初画家，被称为“嘉兴派”画家。
564,百花图,创作者： 周之冕 所属时期： 明代 材质： 纸本 尺寸： 32X131cm 收藏地点： 故宫博物院,写意花卉 设色明丽 象征意义 花朵 枝叶,纸本，设色，31.5*706cm，故宫博物院藏。图绘四季盛开的花卉，花儿红艳，叶儿碧绿，虽为折枝画法，但仍显生机勃勃。技法上，以写意的手法勾写或涂抹出花叶、枝干，随意之中透露着明快和清雅，反映出文人画家淡泊不羁的胸臆。周之冕，字服卿，明代画家，善画花鸟。
565,富春山居图子明卷,创作者： 佚名（仿黄公望） 风格流派： 元四家 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 25x624cm 收藏地点： 台北故宫博物院,台北故宫博物院藏品 黄公望作品 山水作品 山峰 树木 溪水 小舟 渔夫,纸本，水墨，25*624cm，台北故宫博物院藏。据专家考证《富春山居图子明卷》实际上是明末文人临摹《富春山居图》的赝品，但被乾隆皇帝认为是真迹，并一再于画上空白处题字落款，多达55处，甚得其喜爱。当然《子明卷》仍是一幅极好的临摹本，并为破损的原作提供了重要参考。
566,女乐图轴,创作者： 仇珠 所属时期： 明代 材质： 绢画 尺寸： 145.5x85.5cm 收藏地点： 故宫博物院,仇珠名作 世界名作 女性 人物 建筑,绢本，重彩，145.5*85.5cm，故宫博物院藏。图绘三位贵族女子盘脚坐于地毯上，手执乐器，在殿宇前配乐演奏，周围站立三位女子侧耳倾听，被这悦耳的乐声深深吸引。仇珠，明代女画家，仇英之女，擅画人物、山水、楼阁，画风继承其父。
567,淇水清风图,"创作者： 夏昶 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 27.5x192.08cm 收藏地点： 故宫博物院",中国花鸟画 竹,纸本，水墨，画芯27.5x192.08cm，故宫博物院藏。图绘三杆竹子的中间部分，修直而挺拨，左右各有细竹陪衬，浓淡笔墨勾画出竹叶的繁茂和层次，表现出“虚心异众草，劲节逾凡木”的君子之风。夏昶，字仲昭，号自在居士，明代画家，画竹师法王绂。
568,马嗜烟雨图,创作者： 盛颖 所属时期： 明代 题材： 风景画 尺寸： 28.3X56.84cm 收藏地点： 辽宁省博物馆,风景画作 树 建筑 云雾,纸本，淡设色， 28.3X56.84cm，辽宁博物馆藏。此图绘寺庙景色，寺院外景色、楼阁处于云烟细雨中，有一种缥缈梦幻之意境；院内庙宇数座，可见正前方大雄宝殿中立一大鼎，房前树木粗壮苍翠。全图以俯视视角绘出，房屋建造遵循南北趋势，院中有院，整个建筑宏大考究。
569,仿董源笔意图轴,创作者： 祁豸佳 所属时期： 明代 题材： 风景画 材质： 绢画 尺寸： 126×46cm 收藏地点： 安徽博物院,风景画作 山 树 房子,绢本，水墨，126X46cm，安徽省博物馆藏。图绘群山环抱的山脚下，绿树林立，几间房舍掩映其中，房前二位老友相向而坐，相谈甚欢；远处山峰高耸，山脉层层叠叠，巍峨壮观。祁豸佳，字止祥，号雪瓢，能诗善画，其山水画气势淋漓，笔力挺拔，自有一种不可羁勒之概。
570,金陵四季图手卷,创作者： 魏克 所属时期： 明代 题材： 风景画 材质： 纸本 尺寸： 31.3 x 1183.6cm 收藏地点： 大都会艺术博物馆,风景画作 树 山 石 瀑布,纸本，设色，31.3 x1183.6cm，美国大都会博物馆藏。图绘旧时金陵（今南京）四季景色。描绘一年四季中山峦、湖泊、城外景色，春之雾气，夏之浪涛、秋之碧波、冬之冰雪。魏之克，后名克，明朝画家，善画山水兼工花卉，传世画作《松崖待渡》扇面，《水仙梅图》等。
571,赴会东1,所属时期： 明代 题材： 宗教绘画 材质： 壁画 收藏地点： 法海寺,宗教画作 菩萨 云 树,
572,赴会东,所属时期： 明代 题材： 宗教画 材质： 壁画 收藏地点： 法海寺,宗教画作 菩萨 云 莲花,
573,行草书登岱诗册,创作者： 蒋杰 所属时期： 明代 尺寸： 30x344cm,书法作品 行草书,
574,刘海像,创作者： 刘俊 所属时期： 明代 题材： 肖像画 材质： 绢画 尺寸： 32×84cm,肖像画作 男人,
575,春郊牧羊图,创作者： 佚名（李迪款） 所属时期： 明代 题材： 风景画 材质： 绢画 尺寸： 24.1×24.8cm 收藏地点： 大都会艺术博物馆,风景画作 羊 山 树 草,绢本，设色，24.1×24.8cm，大都会艺术博物馆藏。图绘郊外羊数只，或白或花，或卧或立，或吃或看，地上绿草茵茵，右侧斜坡亦野草茂盛，实乃牧羊的好地方；左侧二棵树矗立，而一树杈上的小小牧童举着棍子似在勾上方的小鸟，调皮可爱，孩童的天性表现无疑。
576,扬鞭催马送粮忙图全卷,创作者： 佚名（燕文贵款） 所属时期： 明代 题材： 风景画 尺寸： 30x498cm,风景画作 云 瀑布 动物 桥,
577,竹图（笔耕园）,"创作者： 夏昶 所属时期： 明代 题材： 植物 材质： 水墨,纸本 尺寸： 32.3×30.2cm 收藏地点： 东京国立博物馆",植物画作 竹子,纸本，水墨，32.3×30.2cm，收藏于日本东京国立博物馆藏《 唐绘手鉴-笔耕园》中。图页绘翠竹一株，竹节上多生细叉，竹叶繁茂，自然清新、生机勃勃。夏昶，字仲昭，号自在居士、玉峰，原姓朱，名杲，永乐十三年（1415）进士，官至太常寺少卿，擅墨竹，亦工楷书。
578,水月,所属时期： 明代 题材： 人物画 材质： 壁画 收藏地点： 法海寺,人物画作 观音,壁画中的水月堪称为观音像之最，特别是观音的薄纱披肩，“远看轻薄、欲隐欲现，近看会发现这些都是极为细密的线条勾画成的网，而在披纱上面还有六棱形的花瓣。”据说这些花瓣都由 40 多根金线组成，运用沥粉堆金的技法，使得花瓣散发着金光。不得不称赞，画材之昂贵精良，技艺之高超绝伦！
579,仿王蒙山水,创作者： 蒋乾 所属时期： 明代 题材： 风景画 尺寸： 94x35cm 收藏地点： 台北故宫博物院,风景画作 山 树 石,纸本，设色，98.1*34cm，台北故宫博物院藏。图绘山峰高耸入云，山头密密麻麻，数不胜数；山上树木成林，山腰处一玉带瀑布倾泻而下，汇集山脚；山脚一平坦处数座茅舍映入眼帘，房前流水潺潺，屋后群山，实乃为文人隐士至爱之居处。蒋乾，字子健，明画家蒋嵩之子，工山水，清拔古雅。
580,九龙山居图卷,创作者： 倪瓒(传) 所属时期： 明代 题材： 风景画,风景画作 山 树 房子,
581,设色菊花立轴,创作者： 陆逵 所属时期： 明代 材质： 绢画 尺寸： 48.4x169cm,设色画作 花 树 石,绢本，设色，48.4x169cm，收藏不详。图绘秋日之景色，树叶凋零，几片枝头叶片，摇摇欲坠；秋菊开放，叶茂花艳，数朵菊花争相开放。此图绘枯树时有些讨巧，枯树的枝杆上半部分如长在湖石上，与湖石融为一体，观之惊叹。陆逵，字仪吉，善人物及花草，明代画家。
582,渔乐图卷,创作者： 王绂 所属时期： 明代 题材： 风景画,风景画作 船 山 棚子 桥 湖泊,
583,山水页,创作者： 盛茂烨 所属时期： 明代 题材： 风景画 材质： 绢画 尺寸： 28.6 x 30cm,风景画作 山 树 河 石 人,
584,梅茶山雀图,创作者： 朱竺 所属时期： 明代 题材： 花鸟画 材质： 纸本 尺寸： 119.3x39.6cm 收藏地点： 辽宁省博物馆,朱竺名作 世界名画 鸟 花,纸本，设色，119.3x39.6cm，辽宁博物馆藏。图绘梅、茶花、山雀的花鸟图。雀站立于茶树枝上，昂头望着上方的红茶花和金色梅花，神态专注；梅枝自然伸展，朵朵梅花点缀其上；茶花争相绽放，一抹红色美艳动人。朱竺，号君实，明代画家，工山水，亦能花鸟、人物。
585,仿马远重山叠嶂图卷,"创作者： 佚名（传李在) 所属时期： 明代 题材： 山水画 材质： 水墨,纸本 收藏地点： 大都会艺术博物馆",山 山峰 房屋,纸本，水墨，设色，美国大都会博物馆收藏。画上山头霭霭暮云横，山峰险恶、峻峭，直插云端，描绘出自然雄壮之美。山涧的房屋一笔带过，但粗细线条也勾出房屋的轮廓。李在，明代画家，字以政，号一斋，精山水，是宣德时期宫廷画院最杰出的画家之一。
586,楷书东铭册,创作者： 姜立纲 所属时期： 明代 题材： 书法篆刻 收藏地点： 故宫博物院,,纸本，楷书，每折28.7＊14.8cm，故宫博物院藏。此书册为姜立纲书北宋理学家张载所撰《正蒙》中《东铭》篇。全篇楷体书写，用笔劲健方正，结体紧密，笔墨厚重，近于柳公权书法。姜立纲，字廷宪，号东溪，明代书法家，被誉为“一代书宗”。
587,洗象图卷,创作者： 佚名(传钱选) 所属时期： 明代 材质： 纸本 尺寸： 34.0x57.2cm 收藏地点： 大都会艺术博物馆,士气说 文人画 大都会艺术博物馆藏 钱选作品 象 男子 工具 水,纸本，水墨设色，34.0 x57.2厘米，美国大都会艺术博物馆收藏。画面上五人和一头体型巨大的大象，其中有三人正拿着工具擦洗大象。钱选，宋末元初著名画家，他提倡绘画中的“士气”，在画上题写诗文或跋语，萌芽了诗、书、画紧密结合的文人画的鲜明特色。
588,风雨归舟图,"创作者： 戴进 风格流派： 浙江画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 绢画,水墨 尺寸： 143 ＊81.8cm 收藏地点： 台北故宫博物院",中国山水画 山水 小船 人物 芦苇 树木 桥,绢本，设色，143 ＊81.8cm，台北故宫博物院藏。绘一个风雨交加的天气里，一叶扁舟逆风前行，路上的行人也急忙赶路，水中的芦苇和岸上的树叶都被风刮向一边。作者运用宽阔的湿笔，快速斜扫过画面，表现大雨滂沱如泼、雨雾翻腾的撼人气势。
589,山水轴,"创作者： 戴进 风格流派： 浙江画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 绢画,水墨 尺寸： 184.5x109.4cm 收藏地点： 台北故宫博物院",中国山水画 山水 小船 人物 树木 亭阁,轴，绢本，尺幅：184.5x109.4公分，台北故宫博物院藏。图绘群山沟壑之中的美景。图上远处丛山峻岭，山势险要；二山涧之间一厅立于水面之上，厅内三人围桌而坐，高谈阔论；近处水面碧波荡漾，一带篷小船泊于水面，戴笠老翁坐于船头专心垂钓，相像此处只有鸟鸣虫叫，别无它声，是何等幽静、安详！
590,四季山水图卷,创作者： 佚名（传李唐) 所属时期： 明代 题材： 风景画,山 水 房屋 船,纸本设色，尺寸和收藏不详。图卷描绘了一年四季山水景色，自左图起分别为：春，山花烂漫，万物复苏；夏，青翠欲滴，船舶起航；秋，松柏遒劲，雾气缭绕；冬，山峰耸立，万物寂静，画家用“大斧劈”皴，所画山石立体感强，画水尤得势，有盘涡动荡之趣。李唐，南宋画家，字晞古，擅长山水、人物，与刘松年、马远、夏圭并称“南宋四大家”。
591,仿陈道复花卉卷全卷,创作者： 杜大中 所属时期： 明代 材质： 纸本 尺寸： 25X563cm,花卉 菊花 兰花 鸢尾花,
592,石夜游全图,创作者： 沈周、杨循 所属时期： 明代 题材： 书法篆刻 材质： 纸本,沈周著名作品 书法 行书,
593,行草书归田赋,"创作者： 祝允明 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 26.5X288cm",中国书法 行草,
594,古代仕女立轴,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 风俗画,人物画 材质： 绢画,水墨 尺寸： 95×38cm",中国风俗画 人物画 芭蕉 湖石 仕女 团扇,绢本，设色，95×38cm，收藏不详。图绘后院内芭蕉高大粗壮，叶片宽大下垂，一叶叶尖和中部开裂真实自然，与湖石相依成景；两位仕女头梳高髻，手执团扇，低垂的眼睑，手托下巴，或为情所困，或他事烦恼。画右侧题“实父仇英制”和印章一枚。
595,人物故事图-浔阳琵琶,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画,山水画 材质： 水墨 尺寸： 41.1*33.8cm 收藏地点： 故宫博物院",中国山水画 文人画 浔阳江 琵琶 船 青绿山水 树林 马匹 人物,绢本，设色，41.1*33.8cm，故宫博物馆藏。本图取自白居易的《琵琶行》， 浔阳江头，琵琶声声，感慨于人生不得志，也许又带有一些仇英自身的写照。图上主客共饮分别酒，旁边一舟微露船头，船上商人妇忧伤的弹着琵琶；远处水面辽阔，山峰朦胧，一望无际的空旷陡增几分伤感。
596,人物故事图-松林六逸,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 历史绘画,人物画 材质： 绢画,水墨 尺寸： 41.4×33.8cm 收藏地点： 故宫博物院",中国文人画 人物画 历史故事 河水 树木 李白 孔巢父 韩淮 裴政 张叔明 陶沔 书童 青绿山水 城门,绢本，设色，41.4*33.8cm，故宫博物院藏。本图描绘的是唐代李白、孔巢父、韩淮、裴政、张叔明、陶沔等号称“六逸”的文士结社徂徕山的故事。图绘河面水平如镜，松树高大挺直，河边树下“六逸”们谈诗论画，观山赏景，不亦乐乎！
597,人物故事图-明妃出塞,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 历史绘画,人物画 材质： 绢画,水墨 尺寸： 41.4×33.8cm 收藏地点： 故宫博物院",中国人物画 历史故事 马车 汉使 马车 匈奴使者 狗 山河,绢本，设色，41.4*33.8cm，故宫博物院藏。《明妃出塞》讲述的是王昭君为汉、匈之间和好而嫁匈奴呼韩邪单于的故事。图绘马车涉水前行，车内坐着昭君和仕女，两位汉使者拥在马车旁；众多匈奴使者骑马随行，使者戴头巾着长袍，身形壮硕，表情严肃，一副边塞匈奴人形象。
598,人物故事图-捉柳花图,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 风俗画,人物画,山水画 材质： 绢画,水墨 尺寸： 41.4×33.8cm 收藏地点： 故宫博物院",中国文人画 风俗画 青绿山水 树木 房屋 孩童 先生 池塘,绢本，设色，41.4*33.8cm，故宫博物院藏。此图可能取自居易《别柳枝》：“谁能更学孩童戏，寻逐春风捉柳花。”的诗意，描绘春日中柳树下孩童快乐玩耍的场景。小童顽皮可爱，先生驻足赏柳，小小的一幅图刻画的细致精彩！
599,山水六开,创作者： 董其昌 所属时期： 明代,董其昌作品 题字 印章 山水画 房屋 山 树 凉亭,
600,陶渊明诗,创作者： 董其昌 所属时期： 明代 尺寸： 24x239,董其昌作品 印章 诗歌,
601,酒德颂行草,创作者： 董其昌 所属时期： 明代 材质： 绢画 尺寸： 24.5X245.7,董其昌作品 颂歌 印章,
602,紫茄诗卷,创作者： 董其昌 所属时期： 明代 尺寸： 24.5 x 414cm,董其昌作品 印章 诗歌,
603,山水册页11开(07),创作者： 董其昌 所属时期： 明代 题材： 山水画 材质： 墨水 尺寸： 24.4 x 16 cm 收藏地点： 大都会艺术博物馆,董其昌作品 山 树 题字 印章,
604,山水册10张-4,"创作者： 董其昌 所属时期： 明代 题材： 山水画 材质： 水墨,纸本 尺寸： 19 x 12.7 cm 收藏地点： 故宫博物院",董其昌作品 树 山 题字,
605,明皇幸蜀图,"创作者： 吴彬 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 31.4x54.9cm 收藏地点： 天津博物馆",中国山水画 山石 亭台 人物 马 树木,绢本，设色，54*31.4cm，天津博物馆藏。图绘崇山峻岭中，明皇带着大队人马穿行于山涧小道。明皇处于队伍中部，坐在四匹马拉的车上，前有御林兵开道，后有贴身侍卫守护，转角处还有无数抬担的随丛，场面庞大且有条不紊。吴彬，字文中，工山水，佛像人物，山水画自创独到。
606,十八罗汉图,"创作者： 丁云鹏 所属时期： 明代 题材： 宗教画 材质： 墨水,纸本 尺寸： 21 x 233.7 cm 收藏地点： 大都会艺术博物馆",丁云鹏作品 罗汉 草帽 神兽 法器 题款,纸本，白描墨笔，21 x 233.7cm，美国大都会艺术博物馆藏。长卷绘18位罗汉，各人手拿其法器，面部表情不一，或立，或坐，神兽相伴。长卷无背景相衬，人物白描绘制，线条柔美刚劲，勾勒细致，卷尾有题款：已酉春之吉佛子丁云鹏敬写。
607,柳园人形山水图（笔耕园）,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 建筑,山水画 材质： 水墨 尺寸： 21.5*21cm 收藏地点： 东京国立博物馆",中国山水画 建筑 假山 人物 灌木 树木 远山,绢本，设色，21.5*21cm，收藏于东京国立博物馆唐绘手鉴《笔耕园》中。柳园里建筑整齐划一，假山和房屋非常考究，屋内三三两两侃侃而谈。运用点缀法，在灌木上点上白色，以示花开。仇英，明代画家，与唐寅、文征明、沈周并称“明四家”。
608,人物故事图-吹箫引凤,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 建筑,历史绘画,山水画 材质： 绢画,水墨 尺寸： 41.4×33.8cm 收藏地点： 故宫博物院",中国山水画 文人画 历史故事 青绿山水 凤台 云雾 楼宇亭台 秦穆公 吹箫xiao凤凰,绢本，设色，41.4*33.8cm，故宫博物院藏。此故事取自汉刘向的《列仙传》，描绘弄玉在凤台吹箫，引来凤凰的情景。图绘云遮雾罩的半山腰中，皇家楼宇、亭台辉煌壮观，平台上秦穆公端坐椅上，听着女儿吹箫如痴如醉，二只凤凰自远处飞来。凤凰，云雾，山峦，使画面仙境十足。
609,人物故事图-贵妃晓妆,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 风俗画,历史绘画,人物画 材质： 绢画,水墨 尺寸： 41.1×33.8cm 收藏地点： 故宫博物院",中国风俗画 人物画 历史故事 宫室 杨贵妃 华清宫 宫女 采花 琵琶 盆栽 执扇,绢本，设色，41.1*33.8cm，故宫博物院藏。此幅图似是《汉宫春晓图》里的一个剪影，描绘的是“贵妃晓妆“的故事，以工笔重彩法描绘了杨贵妃清晨在华清宫端正楼对镜理髻，宫女奏乐、采花和携琵琶等的画面。
610,山水纸本14,创作者： 董其昌 所属时期： 明代,董其昌作品 书法 印章,
611,山水册7开3,创作者： 董其昌 所属时期： 明代 收藏地点： 故宫博物院,董其昌作品 树 山 题字,
612,墨兰图轴,"创作者： 文彭 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 绢画,水墨 尺寸： 65x31.2cm 收藏地点： 故宫博物院",中国花鸟画 兰 草丛,纸本、水墨，65x31.2cm，故宫博物院藏。珍宝馆有好几幅兰花图，而此幅却只有两棵，但花儿开的灿烂，尽显悠兰高雅之态，茂盛的小草拥其左右；本幅画面结构简洁，但兰花的神形皆备，兰香扑面而来。文彭，字寿承，号三桥，为文徵明长子，官任国子监博士，诗文、书画、篆刻造诣极深。
613,仿宋元人缩本画跋册14开-92,创作者： 董其昌 所属时期： 明代 收藏地点： 台北故宫博物院,董其昌作品 房屋 山头 小舟 桥,台北故宫博物馆藏。此套册页共22开，绘图21幅，摹十一位宋元画家李成、董源、巨然、范宽、王诜、高克恭、赵孟頫、黄公望、吴镇、王蒙与倪瓒的山水画，每一开左侧基本上有董其昌题的跋。目前馆里发布14幅，每一幅尺寸不一，再次展现宋元山水画的独特魅力。
614,书扇页纸本1,创作者： 董其昌 所属时期： 明代 尺寸： 38 x 63 cm,董其昌作品 扇页 题字,
615,山水册10张-6,"创作者： 董其昌 所属时期： 明代 题材： 山水画 材质： 水墨,纸本 尺寸： 19 x 12.7 cm 收藏地点： 故宫博物院",董其昌作品 树 山 题字,
616,草书杜甫秋兴八首之一昆明池水,"创作者： 祝允明 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 106x37cm 收藏地点： 辽宁省博物馆",中国书法 草书,纸本，草书，106x37cm，辽宁博物馆藏。此首诗为杜甫《秋兴八首》中的第七首，诗文“昆明池水汉时功，武帝旌旗在眼中。织女机丝虚月夜，石鲸鳞甲动秋风。波漂菰米沉云黑，露冷莲房坠粉红。关塞极天唯鸟道，江湖满地一渔翁。”枝山。
617,杜甫谒玄元皇帝庙诗,创作者： 董其昌 所属时期： 明代 材质： 墨水 尺寸： 181.5 x 46.1 cm 收藏地点： 台北故宫博物院,董其昌作品 书法 印章,轴洒金笺纸本，行书，181.5*46.1cm，台北故宫博物院藏。此卷为杜甫诗《冬日洛城北谒玄元皇帝庙》，摹徐浩所书版本，行书誊写，工整隽秀，颇有颜书之圆劲朴厚之精髓。
618,山水纸本7,创作者： 董其昌 所属时期： 明代,董其昌作品 山道 房屋 树 题字,
619,山水纸本5,创作者： 董其昌 所属时期： 明代,董其昌作品 树 山 房屋,
620,山水纸本3,创作者： 董其昌 所属时期： 明代,董其昌作品 桥 树 山,
621,临惯休白描罗汉图,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画 材质： 水墨,纸本 尺寸： 34.4 x 524.2 cm 收藏地点： 大都会艺术博物馆",中国人物画 罗汉 杖 猴子 神兽 法器 山石,
622,流氓图卷,"创作者： 周臣 所属时期： 明代 题材： 人物画 材质： 水墨,纸本 尺寸： 31.9×244.5 收藏地点： 克利夫兰艺术博物馆",明代院体画 民间人物 流民 乞儿,此图原共绘流离失所的难民二十四人。这种描绘生活在社会最底层人物的绘画在古代是极其罕见的。作者如实描写，不加任何修饰，对笔下人物寄予了深厚的同情。其技法形式与其描绘的对象是统一的。此图原为册页，后一分为二并各装裱成手卷。前半部藏于美国火奴鲁鲁艺术学院。此为后半部分，藏于克里夫兰艺术博物馆，即图中所绘之十二人。人物写实生动，对于形形色色的流民，各尽其态。作者似信手写来，略不经意，但却真切感人。
623,勤政励学箴（楷书）,创作者： 董其昌 所属时期： 明代 材质： 纸本 尺寸： 214.5 x 61.8 cm 收藏地点： 辽宁省博物馆,董其昌作品 书法 印章,
624,仿宋元人缩本画跋册14开-96,创作者： 董其昌 所属时期： 明代 收藏地点： 台北故宫博物院,董其昌作品 房屋 树,
625,仿宋元人缩本画跋册14开-86,创作者： 董其昌 所属时期： 明代 收藏地点： 台北故宫博物院,董其昌作品 房屋 桥 人 流水 树,
626,五古诗（楷书）,创作者： 董其昌 所属时期： 明代 材质： 纸本 尺寸： 117 x 47.8 cm 收藏地点： 故宫博物院,董其昌作品 书法 印章,
627,山水册7开-1,创作者： 董其昌 所属时期： 明代 收藏地点： 故宫博物院,董其昌作品 小舟 房屋 树,
628,残荷鹰鹭图,"创作者： 吕纪 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 绢画,水墨 尺寸： 190x105.2cm 收藏地点： 浙江省博物馆",中国花鸟画 荷叶 草 鹰 鹭鸶,绢本，设色，190＊97.8cm，浙江省博物馆藏。绘深秋之景，荷叶破败，莲蓬成熟，茅草茎细叶长，随风摇摆；一只老鹰半空中盘旋，似盯上了水草中的一只鹭鸶。画面色彩较淡，突出深秋的萧瑟之景。
629,仿古山水册页（五画五诗）,创作者： 董其昌 所属时期： 明代 题材： 山水画 尺寸： 34 x 256 cm 收藏地点： 纳尔逊-阿特金斯艺术博物馆,董其昌作品 山 树 题字 凉亭,金笺纸本，水墨，全卷34*256cm，美国纳尔逊-艾金斯美术馆藏。 此套诗册画八幅，诗八首，而此套不全，只有画五幅，诗五首。画绘山水、树木、村宅等，以平远式绘出，远景山峦叠嶂，中景湖面开阔，近景树木葱郁，层次清晰，景色雅致。诗以草体书写，字势遒劲洒脱。
630,函关紫气图卷,"创作者： 张宏 所属时期： 明代 创作地点： 中国 题材： 动物画 材质： 水墨,纸本 尺寸： 27.3 x441.3cm 收藏地点： 大都会艺术博物馆",中国动物画 牛 牧童,水墨纸本， 27.3 x441.3厘米，大都会艺术博物馆藏。这是一幅牧童放牛图，小牧童们或坐于牛背上，或用劲拽缰绳，或与牛打闹，童趣十足。画面上牛的形态各不相同，或抵角打闹，或卧于一起，或母子情深。张宏，字君度，号鹤涧，明代著名画家，善山水，其山水画以石面皴染结合为特色，有元人
631,行书七律诗不将,"创作者： 祝允明 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 49.5x129.5cm",中国书法 行书,纸本，行书，49.5x129.5cm，收藏不详。此轴书五代谭用之七律《赠索处士》:不将桂子种诸天，长得寻君水石边。玄豹夜寒和雾隐，骊龙春暖抱珠眠。山中宰相陶弘景，洞里真人葛稚川。一度相思一惆怅，水寒烟澹落花前。枝山书。
632,草书云江记,"创作者： 祝允明 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 26.X265.5cm",中国书法 草书,
633,草书李白诗二首,"创作者： 祝允明 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 25X188cm",中国书法 草书,
634,草书手卷,创作者： 祝允明 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨 尺寸： 30x209cm,中国书法 草书,
